user_input,intent,,
hi,greeting,,
hello,greeting,,
"Hey, what's up?",greeting,,
hey,greeting,,
good morning,greeting,,
good afternoon,greeting,,
good evening,greeting,,
what’s up,greeting,,
yo,greeting,,
howdy,greeting,,
namaste,greeting,,
hai,greeting,,
vanakkam,greeting,,
bye,farewell,,
goodbye,farewell,,
see you,farewell,,
see you later,farewell,,
talk to you later,farewell,,
catch you later,farewell,,
ok bye,farewell,,
"thanks, bye",farewell,,
that's all,farewell,,
exit,farewell,,
quit,farewell,,
"thank you, goodbye",farewell,,
Who are you?,bot_identity,,
Are you a real person?,bot_identity,,
Are you human?,bot_identity,,
Are you a bot?,bot_identity,,
Who made you?,bot_identity,,
Where are you from?,bot_identity,,
Why were you created?,bot_identity,,
Who built you?,bot_identity,,
Are you trained on movies?,bot_identity,,
Are you smart?,bot_identity,,
who are you?,bot_identity,,
what is your name?,bot_identity,,
tell me about yourself,bot_identity,,
are you a human?,bot_identity,,
what can you do?,bot_identity,,
are you a bot?,bot_identity,,
introduce yourself,bot_identity,,
what is this bot?,bot_identity,,
what’s your purpose?,bot_identity,,
what is your job?,bot_identity,,
what are you?,bot_identity,,
who built you?,bot_identity,,
What can you do?,bot_identity,,
How does this bot work?,bot_identity,,
Can you recommend movies?,bot_identity,,
Are you an AI?,bot_identity,,
What kind of films do you recommend?,bot_identity,,
Can I search by language?,bot_identity,,
Do you use AI to suggest movies?,bot_identity,,
Where do you get your data from?,bot_identity,,
Can I search for old movies?,bot_identity,,
how can i help you?,bot_identity,,
what are the ways you can help me?,bot_identity,,
Is this a movie chatbot?,bot_identity,,
Tell me a joke,tell_joke,,
Make me laugh,tell_joke,,
Do you know any movie jokes?,tell_joke,,
Give me a film-related joke,tell_joke,,
Say something funny,tell_joke,,
Can you lighten the mood?,tell_joke,,
Cheer me up with a joke,tell_joke,,
One joke please,tell_joke,,
Make it fun,tell_joke,,
I am sad make me face bright?,tell_joke,,
tell me a joke,tell_joke,,
make me laugh,tell_joke,,
say something funny,tell_joke,,
do you know any jokes?,tell_joke,,
give me a movie joke,tell_joke,,
can you tell a joke?,tell_joke,,
joke please,tell_joke,,
funny movie joke,tell_joke,,
i want to hear a joke,tell_joke,,
entertain me,tell_joke,,
Give me a funny line,tell_joke,,
I really loved the recommendations.,positive_feedback,,
Great suggestions!,positive_feedback,,
Your movie picks are awesome.,positive_feedback,,
The bot helped me find a perfect movie.,positive_feedback,,
i love you,positive_feedback,,
Nice work! Keep it up.,positive_feedback,,
"Thanks, that was useful.",positive_feedback,,
You nailed it with that movie list.,positive_feedback,,
"Perfect, exactly what I wanted.",positive_feedback,,
The chatbot is amazing!,positive_feedback,,
I enjoyed using this app.,positive_feedback,,
These suggestions are not helpful.,negative_feedback,,
The bot didn't understand my request.,negative_feedback,,
You gave wrong results.,negative_feedback,,
That was a bad recommendation.,negative_feedback,,
Too many irrelevant movies.,negative_feedback,,
The bot needs improvement.,negative_feedback,,
Not satisfied with the answer.,negative_feedback,,
I couldn't find what I was looking for.,negative_feedback,,
Your reply didn’t make sense.,negative_feedback,,
It’s frustrating when the bot repeats.,negative_feedback,,
Can I suggest a feature?,neutral_feedback,,
It would be better if you let us filter by IMDb rating.,neutral_feedback,,
Add an option to search by genre and actor.,neutral_feedback,,
I think the UI needs work.,neutral_feedback,,
Please include Hindi movies too.,neutral_feedback,,
Voice search would be great.,neutral_feedback,,
Can you allow sorting by newest first?,neutral_feedback,,
How do I report a bug?,neutral_feedback,,
I want to give some feedback.,neutral_feedback,,
Where can I leave my review?,neutral_feedback,,
Thanks!,thanks,,
Thank you.,thanks,,
Thanks a lot.,thanks,,
Thanks buddy.,thanks,,
Thank you so much.,thanks,,
Thx!,thanks,,
Many thanks.,thanks,,
Appreciate it.,thanks,,
Much appreciated.,thanks,,
Tysm! (Thank you so much),thanks,,
I really appreciate your help.,thanks,,
Thanks for the suggestion.,thanks,,
You’ve been a big help.,thanks,,
I’m grateful for the recommendations.,thanks,,
Thanks for the support.,thanks,,
"Thank you, that was perfect.",thanks,,
Cheers!,thanks,,
"Great, thanks.",thanks,,
Thanks for your time.,thanks,,
Thanks again!,thanks,,
"That was really helpful, thanks!",thanks,,
"You found just what I needed, thanks.",thanks,,
"Got it, thank you!",thanks,,
"Cool, thanks.",thanks,,
Exactly what I was looking for — thanks!,thanks,,
Show me something fun,fallback,,
Can you cook?,fallback,,
I love elephants,fallback,,
asdfghjkl,fallback,,
"erfvnfkdvnkwix,mcd7343544",fallback,,
Tell me the weather in Mars,fallback,,
What's your favorite color?,fallback,,
Can you recommend a Hollywood movie?,fallback,,
How tall is Rajinikanth?,fallback,,
sdfhjwekgfwee,fallback,,
"erfvnfkdvnkwix,mcd7343544",fallback,,
Make me laugh like a dolphin,fallback,,
Order me a pizza,fallback,,
When is my dentist appointment?,fallback,,
life is a journey enjoy it the ride.,fallback,,
Blah blah blah,fallback,,
I want to die,crisis_intent,,
I don't want to live anymore,crisis_intent,,
How can I kill myself?,crisis_intent,,
Life is meaningless,crisis_intent,,
I feel so alone,crisis_intent,,
Everything is falling apart,crisis_intent,,
Nobody cares about me,crisis_intent,,
End it all,crisis_intent,,
I’m depressed,crisis_intent,,
Can you help me disappear?,crisis_intent,,
ways to suicide,crisis_intent,,
I am worthless,crisis_intent,,
hopeless,crisis_intent,,
